ffpe_sample_id	variant_caller	ffpe_vcf_snvs	mobsnvf_snvs	vafsnvf_snvs	sobdetector_snvs	mobsnvf_c_to_t_snvs	ffpe_vcf_c_to_t_snvs	vafsnvf_c_to_t_snvs	sobdetector_c_to_t_snvs	ffpe_vcf_non_ct_snvs	mobsnvf_non_c_to_t_snvf	vafsnvf_non_c_to_t_snvf	sobdetector_non_c_to_t_snvf
Pat01_Meta_FFPE_ERR791893	MuTect2	138	138	138	138	53	53	53	53	85	85	85	85
Pat03_Meta_FFPE_ERR791895	MuTect2	148	148	148	148	64	64	64	64	84	84	84	84
Pat04_Meta_FFPE_ERR791896	MuTect2	114	114	114	114	42	42	42	42	72	72	72	72
Pat04_Prim_FFPE_ERR791897	MuTect2	87	87	87	87	48	48	48	48	39	39	39	39
Pat08_Meta_FFPE_ERR791901	MuTect2	96	96	96	96	31	31	31	31	65	65	65	65
Pat09_Meta_FFPE_ERR791902	MuTect2	123	123	123	123	66	66	66	66	57	57	57	57
Pat10_Meta_FFPE_ERR791903	MuTect2	76	76	76	76	26	26	26	26	50	50	50	50
Pat10_Prim_FFPE_ERR791904	MuTect2	103	103	103	103	64	64	64	64	39	39	39	39
Pat11_Meta_FFPE_ERR791905	MuTect2	108	108	108	108	41	41	41	41	67	67	67	67
Pat11_Prim_FFPE_ERR791906	MuTect2	99	99	99	99	54	54	54	54	45	45	45	45
Pat12_Meta_FFPE_ERR791907	MuTect2	130	130	130	130	64	64	64	64	66	66	66	66
Pat13_Meta_FFPE_ERR791908	MuTect2	152	152	152	152	53	53	53	53	99	99	99	99
Pat14_Meta_FFPE_ERR791909	MuTect2	131	131	131	131	37	37	37	37	94	94	94	94
Pat14_Prim_FFPE_ERR791910	MuTect2	147	147	147	147	109	109	109	109	38	38	38	38
